	RNA-CB	RNA-PM	RNA-PB	Motif-CB	Motif-PM	Motif-PB
Mef2a	0.20163971	0.08251489	0.1824573	0.24695337	-0.44712728	-0.19962177
Cux1	0.16875553	0.25036752	0.15443027	0.008104994	-0.4460404	-0.19872001
Pknox1	0.07654122	-0.0063380343	-0.040260572	-0.20506369	-0.437265	-0.023724798
Tgif1	0.036907796	-0.028523544	0.0011254309	-0.1740633	-0.41120067	-0.013200299
Smad2	0.12358894	0.064047754	0.12221744	-0.1379031	-0.40796596	0.096178666
Mef2b	0.043915838	-0.0994071	0.06658428	0.23888068	-0.37488517	-0.19912827
Nfe2l2	0.011507412	0.05740618	0.043246783	-0.172561	-0.36786145	0.08635778
Ctcf	0.2236026	0.064273626	0.08224632	-0.14777397	-0.36688277	-0.12990524
Mef2c	0.4535943	0.34202293	0.41053978	0.26392022	-0.35402736	-0.15801498
Batf	-0.029262125	-0.0072739054	-0.046869803	-0.18956892	-0.33070037	0.17056772
Bach2	0.6191557	0.12020752	0.5157421	-0.15263365	-0.32302374	0.13904573
Srebf2	0.10824781	-0.033331525	0.08773435	-0.009288816	-0.3194976	0.18681815
Tbx21	0.05141066	0.024435941	0.07376687	-0.06519313	-0.30977356	0.04950969
Myb	-0.0064922813	0.0028730547	-0.0114531	0.08740505	-0.30501956	-0.2844026
Tcf12	0.24335511	0.22209612	0.23704529	-0.13422363	-0.30380443	-0.060884975
Zfx	0.10298527	0.06433214	0.11781159	0.23310873	-0.29186302	-0.17631784
Arid3a	-0.049533505	-0.045380067	0.03090128	-0.07682528	-0.2769304	-0.27877972
Ebf1	0.5234811	0.3644079	0.51572895	0.121677555	-0.24649082	0.056531876
Zfp652	0.0977038	0.11785797	0.093128145	-0.19091947	-0.23977453	-0.2900051
Lyl1	0.09652557	0.029533692	0.05655773	-0.08832203	-0.2395965	0.05461782
Mybl2	0.0001726157	-0.07674769	-0.039371595	0.16834407	-0.23239419	-0.30566162
E2f3	0.052649148	-0.04584444	0.023225298	0.14041303	-0.2149265	-0.2698543
Foxj2	0.051057473	0.08982104	0.073423184	-0.086076625	-0.20116307	-0.28838488
Nr3c1	0.24570787	0.09327865	0.21183586	0.008437024	-0.17864111	0.13679533
Mbd2	0.30328175	-0.06739212	0.09439632	-0.07051208	-0.17613597	-0.33746645
Foxk2	0.06260748	-0.0069603543	0.04215204	-0.05590973	-0.16835143	-0.2267641
Foxo1	0.24641486	0.11010724	0.25145495	-0.056670893	-0.1593579	-0.25894558
E2f1	-0.091271944	-0.08889011	-0.03371728	0.13476506	-0.1472218	-0.17104237
E2f2	0.10967908	-0.09441671	0.00820182	0.124690354	-0.13471194	-0.21457209
Nr1d2	0.048563417	0.031286597	0.026779799	-0.07684585	-0.06425597	0.12421446
Pax5	0.33208156	0.2972331	0.3384298	0.19673596	-0.058744237	0.03138902
Zfp740	0.07027802	0.021147491	0.06432773	-0.25874084	-0.046372946	-0.046266165
Arid3b	0.13504218	0.06403192	0.14587465	0.0149777895	-0.03234414	-0.19264702
Rfx1	0.057033405	0.004772002	-0.012786453	0.1635893	-0.012733626	-0.111715816
Hmbox1	0.11733514	0.0812855	0.12053234	0.13128215	0.051977806	0.03171967
Rreb1	0.114328295	0.1287575	0.15664013	-0.27840936	0.058654368	0.018128613
Nfatc2	0.08089421	-0.014870767	0.0223863	-0.08344581	0.13169077	0.020229703
E2f7	0.09689456	-0.08128108	-0.03765028	0.1417856	0.13425347	-0.18119803
E2f4	-0.015710901	-0.05363228	-0.033252027	0.16761923	0.15516707	-0.22311984
Sox5	0.4533641	-0.09816679	0.25895742	-0.16208757	0.18566509	-0.2731753
Mga	0.07217049	0.14729023	0.1216653	-0.01794047	0.2009986	0.00087088626
Tfdp1	-0.06897928	-0.04622074	0.021708274	0.23512551	0.20713273	-0.029011292
Srebf1	0.014466467	-0.04542743	0.0049673985	0.14372756	0.20742147	0.28689638
Esrra	0.013340532	0.01046281	0.064371966	0.0073439847	0.22004099	0.18622649
E2f5	0.018014636	-0.00017852055	0.06385645	0.20305346	0.27033055	-0.117617026
Klf13	0.04261895	0.13768905	0.12505628	0.1873467	0.2748323	0.071987584
Pbx2	0.052262194	-0.023410508	0.045891102	0.15564331	0.29867387	-0.008115138
Arnt	0.12265374	0.060166866	0.06731905	0.17733464	0.31304118	0.09245849
Foxp1	0.20547038	0.43856093	0.3090808	0.052625705	0.32880667	-0.05723668
Rbpj	0.06368543	0.047493182	0.0885025	-0.20930447	0.33449095	-0.016314864
Smad4	0.075443394	0.05058851	0.036887158	-0.019808233	0.3377278	0.27037707
Foxo3	0.0617574	0.15710683	0.108464465	-0.11380254	0.3389082	0.110609755
Nfatc1	0.13376758	0.040683262	0.13705093	0.122227505	0.37233686	0.23237489
E2f8	0.028564485	-0.05965476	-0.05901958	0.14046606	0.3829502	-0.09949569
Nr4a1	0.067023695	0.030971618	0.057915445	0.082185954	0.38343915	0.13409057
Nfatc3	0.1413667	0.11718925	0.12261185	0.11023735	0.38354453	0.2545314
Hltf	0.15041511	0.08189008	0.08937419	0.033092383	0.40777424	0.0016554844
Prdm4	-0.0003763044	-0.017654628	0.009464933	-0.07035869	0.40930298	0.08023713
Ets1	0.2328028	0.18697488	0.20373942	0.25370985	0.41387504	-0.032515567
Nfyb	-0.008413729	0.0048951334	0.006223986	0.19222903	0.4141453	0.10907088
Nfat5	0.14031564	0.14344442	0.16142116	0.07670063	0.42141235	0.27439943
Atf4	-0.04202899	-0.06337568	-0.02051288	0.20059516	0.4230731	0.2318173
Nfyc	0.12938264	0.025240017	0.038161397	0.19369261	0.42790586	0.11547391
Arntl	0.06909924	0.07499983	0.08953335	0.16808486	0.43029925	0.07219391
Tcf7l2	0.009239125	-0.02038784	0.006496171	-0.09314943	0.4355331	0.11011945
Foxk1	0.04200648	0.05955149	0.07365872	-0.16387792	0.43627277	0.16816895
Nfya	0.10921985	0.04481659	0.03098442	0.19322082	0.43904012	0.11390888
Relb	0.068112805	0.07882427	0.05501542	0.022759933	0.44783205	0.19972803
Sp2	0.05056036	-0.012944403	-0.0066349874	0.18186125	0.4493247	-0.02733674
Pbx3	0.04098745	-0.0036918516	0.054684438	0.2272058	0.4497481	0.30555078
Xbp1	-0.014059022	-0.034889836	0.03117076	0.12353467	0.45559204	0.09374736
Rel	0.1744288	0.09825901	0.16744103	0.011324878	0.45813245	0.22112791
Nfkb1	0.07723767	0.1852594	0.13228394	-0.02455013	0.46198884	0.2258158
Nfia	0.080259606	0.017806781	-0.011262083	-0.069554836	0.4650403	0.20024574
Nfkb2	0.007851781	0.040851384	0.033418518	-0.015143596	0.46665433	0.24192818
Rela	0.0032017168	0.017499505	0.025834007	0.022574723	0.4671128	0.2278355
Gmeb2	0.115456425	-0.025116552	0.020275025	0.1540897	0.46801358	0.030190896
Crem	0.13383383	0.04533916	0.080490336	0.18424353	0.46929714	0.07612508
Lef1	0.023176871	0.08546584	0.012521134	-0.11013168	0.470438	-0.02574616
Sp3	0.13757859	0.09504108	0.11047012	0.19246383	0.48290598	0.081742756
Rfx3	0.26401043	0.12798856	0.15720694	0.19886954	0.4859414	0.1269124
Egr3	0.00559336	0.0433362	0.037025902	0.1685795	0.49725842	0.23670594
Tbp	0.044545017	0.0058238567	0.02260275	0.21420306	0.49796343	0.13356255
Klf12	0.09296959	0.121676795	0.16440806	0.20934549	0.4991257	0.17465834
Elk3	0.13225132	0.020011563	0.15633309	0.24564402	0.5000287	0.016730733
Gabpa	0.037464406	-0.023667535	0.0113376295	0.24462451	0.500123	0.01482044
Usf1	0.01674985	0.005471511	-0.010643789	0.1598704	0.50051516	0.10789497
Sp1	0.12865132	0.016343866	0.032865368	0.23930535	0.5005888	0.048128814
Elk4	0.08570938	0.09583736	0.08055717	0.25157228	0.5018884	0.020689232
Fli1	0.3107059	0.27465063	0.18676786	0.26403654	0.5027714	0.016336793
Klf9	-0.013639561	-0.00020121802	-0.018688153	0.20719427	0.5038941	0.23760416
Elf1	0.28739417	0.04424961	0.16818677	0.23208356	0.50760883	0.06368281
Stat3	0.069881976	0.038678285	0.0843922	0.06710135	0.50763077	0.045991186
Patz1	0.022508256	0.01705535	0.035191897	0.22355656	0.5090679	0.1334541
Etv3	0.007865087	0.031585813	-0.0060089543	0.24268402	0.50938547	0.04197237
Ahr	0.02773445	-0.002571319	-0.017192615	-0.014110031	0.50940806	0.035527673
Runx1	0.38684186	0.21376409	0.22842629	0.1126629	0.50983685	0.18126279
Yy1	0.043042596	-0.035084058	0.0066327774	0.19176048	0.510929	0.104221165
Klf3	0.040193174	0.23342867	0.030044388	0.20033054	0.5127704	0.14914356
Cebpg	0.091671735	-0.0075400732	0.015013003	0.17394936	0.513293	0.11276138
Klf6	0.05950002	-0.00408314	0.0135323275	0.21014561	0.51686054	0.16641076
Tfeb	0.08718617	0.108560145	0.12023475	0.16266333	0.52069485	0.14993833
Bcl6	0.20238896	-0.21440561	0.12454815	-0.18466137	0.52098197	0.1714564
Atf1	0.049780246	-0.020975372	0.0005854631	0.18905959	0.5214904	0.12862048
Atf7	0.19224656	0.124207474	0.15953836	0.18883392	0.5241611	0.13193327
Gmeb1	0.068161145	0.051029313	0.0751992	0.21523422	0.5258343	0.11304088
Stat6	0.083684705	0.06297515	0.03543169	0.09543456	0.5265934	0.2317974
Sp4	0.112294376	0.09806547	0.09265084	0.2167835	0.5357838	0.16992848
Elf4	0.12140861	0.102154665	0.11443623	0.25591612	0.5384796	0.11182548
Usf2	-0.012950393	-0.02192968	0.009779377	0.14889185	0.5424754	0.19087207
Ehf	0.1287115	-0.10811985	0.00080147793	0.25795716	0.54312855	0.1213684
Creb3l2	-0.017576946	0.06122519	0.07454934	0.14380762	0.545816	0.22259861
Nrf1	0.15970667	0.019973813	0.061938692	0.12282437	0.54844356	0.19377951
Irf5	0.055934355	0.047056008	0.0687552	0.16093293	0.5542427	0.22235891
Atf2	0.13995923	0.07094218	0.11278463	0.19282643	0.55593234	0.20113446
Creb1	0.15673973	0.08417549	0.09412395	0.20581327	0.557731	0.21415795
Stat2	0.051694453	0.03401779	0.06878565	0.1802308	0.56125206	0.22935304
Maz	0.03640531	-0.027677374	-0.01178623	0.17855726	0.5623729	0.2374951
Irf3	0.02068099	0.022553382	0.029712185	0.15485106	0.56590205	0.2448236
Stat1	0.050232563	0.07937589	0.09177223	0.08235195	0.5664453	0.19724278
Prdm1	-0.033724826	-0.00023953605	0.08434316	0.1459811	0.5674854	0.31351253
Spib	0.05664237	-0.020427791	0.028644374	0.27602202	0.57162255	0.33635956
Vezf1	0.08270591	0.024293303	0.028014356	0.19022316	0.57271135	0.25112766
Stat4	0.06576077	0.19039726	0.09818446	0.16750553	0.5766359	0.22546597
Ets2	0.027152231	-0.0300439	0.018719686	0.22310048	0.5783309	0.22397394
Taf1	0.072871074	0.005506745	0.050276928	0.26379082	0.5785743	0.22176412
Hsf2	-0.017500926	-0.029434182	0.011888607	0.11670947	0.57963204	0.24184772
Irf2	0.2324287	0.15111022	0.1423554	0.19402905	0.58810574	0.2719267
Spi1	0.03396352	-0.009953135	0.017300583	0.28338927	0.58880526	0.335255
Rfx5	0.0768102	0.03288734	0.08713399	0.20893843	0.5901679	0.2868809
Irf4	0.011191336	-0.006823687	-0.014666522	0.066739865	0.5955408	0.31767365
Irf8	0.05636908	-0.035397433	0.082152195	0.077170484	0.5985464	0.32915124
Elf2	0.10888621	0.04701707	0.031014876	0.3370114	0.61631906	0.30745223
Etv6	0.122388385	0.088652134	0.17234382	0.32396498	0.6164872	0.30903995
